 Name, Age, Movie, Year
 Janet Gaynor,22, Seventh Heaven, 1928
 Mary Pickford,37, Coquette, 1929
 Norma Shearer,28, The Divorcee	, 1930
 Marie Dressler,63, Min and Bill, 1931
 Helen Hayes,32, The Sin of Madelon Claudet	, 1932
 Katharine Hepburn,26, Morning Glory, 1933
 Claudette Colbert,31, It Happened One Night, 1934
 Bette Davis,27, Dangerous, 1935
 Luise Rainer,27, The Great Ziegfeld, 1936
 Luise Rainer,28, The Good Earth, 1937
 Bette Davis,30, Jezebel, 1938
 Vivien Leigh,26, Gone with the Wind, 1939
 Ginger Rogers,29, Kitty Foyle, 1940
 Joan Fontaine,24, Suspicion	, 1941
 Greer Garson,38, Mrs. Miniver, 1942
 Jennifer Jones,25, The Song of Bernadette, 1943
 Ingrid Bergman,29, Gaslight, 1944
 Joan Crawford,40, Mildred Pierce, 1945
 Olivia de Havilland,30, To Each His Own, 1946
 Loretta Young,35, The Farmer's Daughter, 1947
 Jane Wyman,32, Johnny Belinda, 1948
 Olivia de Havilland,33, The Heiress, 1949
 Judy Holliday,29, Born Yesterday, 1950
 Vivien Leigh,38, A Streetcar Named Desire, 1951
 Shirley Booth,54, Come Back, 1952
 Audrey Hepburn,24, Roman Holiday, 1953
 Grace Kelly,25, The Country Girl, 1954
 Anna Magnani,48, The Rose Tattoo, 1955
 Ingrid Bergman,41, Anastasia, 1956
 Joanne Woodward,28, The Three Faces of Eve, 1957
 Susan Hayward,41, I Want to Live!, 1958
 Simone Signoret,39, Room at the Top, 1959
 Elizabeth Taylor,29, BUtterfield 8, 1960
 Sophia Loren,27, Two Women, 1961
 Anne Bancroft,31, The Miracle Worker, 1962
 Patricia Neal,31, Hud, 1963
 Julie Andrews,29, Mary Poppins, 1964
 Julie Christie,25, Darling, 1965
 Elizabeth Taylor,35, Who's Afraid of Virginia Woolf?, 1966
 Katharine Hepburn,60, Guess Who's Coming to Dinner, 1967
 Katharine Hepburn,61, The Lion in Winter, 1968
 Barbra Streisand,26, Funny Girl, 1969
 Maggie Smith,35, The Prime of Miss Jean Brodie, 1970
 Glenda Jackson,34, Women in Love, 1971
 Jane Fonda,34, Klute, 1972
 Liza Minnelli,27, Cabaret, 1973
 Glenda Jackson,37, A Touch of Class, 1974
 Ellen Burstyn,42, Alice Doesn't Live Here Anymore	, 1975
 Louise Fletcher,41, One Flew Over the Cuckoo's Nest, 1976
 Faye Dunaway,36, Network, 1977
 Diane Keaton,32, Annie Hall, 1978
 Jane Fonda,41, Coming Home, 1979
 Sally Field,33, Norma Rae, 1980
 Sissy Spacek,31, Coal Miner's Daughter	, 1981
 Katharine Hepburn,74, On Golden Pond, 1982
 Meryl Streep,33, Sophie's Choice, 1983
 Shirley MacLaine,49, Terms of Endearment	, 1984
 Sally Field,38, Places in the Heart, 1985
 Geraldine Page,61, The Trip to Bountiful	, 1986
 Marlee Matlin,21, Children of a Lesser God, 1987
 Cher,41, Moonstruck, 1988
 Jodie Foster,26, The Accused, 1989
 Jessica Tandy,80, Driving Miss Daisy, 1990
 Kathy Bates,42, Misery, 1991
 Jodie Foster,29, The Silence of the Lambs, 1992
 Emma Thompson,33, Howards End, 1993
 Holly Hunter,36, The Piano, 1994
 Jessica Lange,45, Blue Sky, 1995
 Susan Sarandon,49, Dead Man Walking, 1996
 Frances McDormand,39, Fargo, 1997
 Helen Hunt,34, As Good as It Gets, 1998
 Gwyneth Paltrow,26, Shakespeare in Love, 1999
 Hilary Swank,25, Boys Don't Cry, 2000
 Julia Roberts,33, Erin Brockovich, 2001
 Halle Berry,35, Monster's Ball, 2002
 Nicole Kidman,35, The Hours, 2003
 Charlize Theron,28, Monster, 2004
 Hilary Swank,30, Million Dollar Baby, 2005
 Reese Witherspoon,29, Walk the Line, 2006
 Helen Mirren,61, The Queen, 2007
 Marion Cotillard,32, La Vie en rose, 2008
 Kate Winslet,33, The Reader, 2009
 Sandra Bullock,45, The Blind Side, 2010
 Natalie Portman,29, Black Swan, 2011
 Meryl Streep,62, The Iron Lady, 2012
 Jennifer Lawrence,22, Silver Linings Playbook, 2013
 Cate Blanchett,44, Blue Jasmine, 2014
 Julianne Moore,54, Still Alice, 2015
 Brie Larson,26, Room, 2016
